Charles de Gaulle, Étoile;48.8744088;2.295508
Chaussée d'Antin, La Fayette;48.873754;2.3351707
Raspail;48.8389219;2.3307369
Saint-Marcel;48.8382809;2.3608339
Wagram;48.8840526;2.3037389
Danube;48.8819488;2.393338
Edgar Quinet;48.84111;2.3250699
Pierre Curie;48.846432;2.3461477
Argentine;48.8753357;2.2901322
Villejuif, P. Vaillant Couturier;NOT FOUND
Hoche;48.876362;2.3015161
Quatre Septembre;48.8695929;2.3358665
Jacques Bonsergent;48.8711191;2.3607546
Maubert Mutualité;48.8500649;2.3484301
Marcel Sembat;48.8986738;2.338332311101719
Bercy;48.8391964;2.382849
Porte d'Auteuil;48.8480881;2.2587539
Sentier;48.867518;2.3465656
Campo-Formio;48.8351162;2.3582026
Porte d'Orléans;48.8236307;2.3256075
Cardinal Lemoine;48.8465303;2.3518356
Glacière;48.8311451;2.3434916
Mairie de Montreuil;48.867515850000004;2.3627376184534197
Gare d'Austerlitz;48.8417775;2.3661405761244856
Jules Joffrin;48.8925349;2.3446536
Bobigny-Pantin, Raymond Queneau;NOT FOUND
Porte de Montreuil;48.8535352;2.4106565
Mouton-Duvernet;48.8312786;2.3298657
Bel Air;48.8413382;2.4009129
Arts et Métiers;48.8654718;2.3561116
Pyramides;48.8657452;2.3344687
Saint-Denis-Porte de Paris;48.9299051;2.3562136
Jussieu;48.8461357;2.3559859
Vaugirard;48.839587;2.3012795
Place Balard;48.83671198214261;2.278708194297321
George V;48.872076;2.3004214
Ternes;48.8783132;2.2990737
Michel Bizot;48.8370694;2.4024586
Saint-Denis-Université;NOT FOUND
Saint-Francois Xavier;48.8514517;2.3144205
Robespierre;48.8558145;2.4237108
École Militaire;48.851848399999994;2.304756478078534
Cité;48.8553219;2.3475596
Louise Michel;48.8877311;2.2882219
La Motte Picquet, Grenelle;48.8489809;2.2981916
Chevaleret;48.83495;2.3681023
Laumière;48.8851647;2.3794369
Miromesnil;48.873719;2.3145029
Notre Dame de Lorette;48.8760191;2.3385341
Le Peletier;48.8748603;2.340218
Malakoff-Rue Étienne Dolet;NOT FOUND
Picpus;48.8450724;2.4010857
Porte de Pantin;48.8886574;2.3926771
Lourmel;48.8387364;2.2821481
Péreire;48.8848183;2.298274
Botzaris;48.879514;2.3885871
Champs Élysées, Clémenceau;NOT FOUND
Gare de Lyon;48.8448057;2.3734794
